"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","prac_part","colIndex","allLocX","allLocY","test_part","mainExp_part","condType","xClicked","yClicked","responseCol","responseInd","responseError","correctCol","correctColIndex","probLocIndex"
"","null","snap-keyboard-response","267","1364767","0.0-7.0-1.50","","null","","109,148,43","189.10371511986338,-176.58951857178536,123.1322950651317","65.11363089143133,93.89431255717821,-157.60215072134434","encoding","","","","","","","","","",""
"","null","html-keyboard-response","268","1365068","0.0-7.0-2.50","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","269","1366270","0.0-7.0-3.50","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","3432","continuous_report","270","1369704","0.0-7.0-4.50","","","","109,148,43","189.10371511986338,-176.58951857178536,123.1322950651317","65.11363089143133,93.89431255717821,-157.60215072134434","Probe","","null","672","439","35,134,167","44","1","32,134,165","43","2"
"","null","html-keyboard-response","271","1370705","0.0-7.0-0.51","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","272","1370808","0.0-7.0-1.51","","null","","52,154,87","-169.60961923128522,71.67358990905991,71.67358990906007","-105.98385284664096,-186.7160852994404,186.71608529944035","encoding","","","","","","","","","",""
"","null","html-keyboard-response","273","1371109","0.0-7.0-2.51","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","274","1372311","0.0-7.0-3.51","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","6481","continuous_report","275","1378794","0.0-7.0-4.51","","","","52,154,87","-169.60961923128522,71.67358990905991,71.67358990906007","-105.98385284664096,-186.7160852994404,186.71608529944035","Probe","","null","812","304","32,134,165","43","-9","66,129,179","52","0"
"","null","html-keyboard-response","276","1379795","0.0-7.0-0.52","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","277","1379898","0.0-7.0-1.52","","null","","40,85,131","178.20130483767358,185.43677091335746,-71.67358990906014","90.79809994790935,-74.92131868318246,-186.71608529944032","encoding","","","","","","","","","",""
"","null","html-keyboard-response","278","1380199","0.0-7.0-2.52","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","279","1381401","0.0-7.0-3.52","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","2982","continuous_report","280","1384385","0.0-7.0-4.52","","","","40,85,131","178.20130483767358,185.43677091335746,-71.67358990906014","90.79809994790935,-74.92131868318246,-186.71608529944032","Probe","","null","939","333","36,137,147","35","-5","23,135,159","40","0"
"","null","html-keyboard-response","281","1385386","0.0-7.0-0.53","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","282","1385488","0.0-7.0-1.53","","null","","10,112,84","-120.36300463040968,-133.82612127177168,153.20888862379562","159.72710200945858,-148.6289650954788,128.55752193730785","encoding","","","","","","","","","",""
"","null","html-keyboard-response","283","1385789","0.0-7.0-2.53","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","284","1386990","0.0-7.0-3.53","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","4390","continuous_report","285","1391382","0.0-7.0-4.53","","","","10,112,84","-120.36300463040968,-133.82612127177168,153.20888862379562","159.72710200945858,-148.6289650954788,128.55752193730785","Probe","","null","798","479","99,137,93","13","3","106,137,86","10","0"
"","null","html-keyboard-response","286","1392384","0.0-7.0-0.54","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","287","1392486","0.0-7.0-1.54","","null","","119,161,19","-58.47434094454741,197.53766811902753,-199.23893961834912","-191.26095119260705,-31.286893008046224,17.431148549531727","encoding","","","","","","","","","",""
"","null","html-keyboard-response","288","1392787","0.0-7.0-2.54","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","289","1393988","0.0-7.0-3.54","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","3388","continuous_report","290","1397378","0.0-7.0-4.54","","","","119,161,19","-58.47434094454741,197.53766811902753,-199.23893961834912","-191.26095119260705,-31.286893008046224,17.431148549531727","Probe","","null","735","397","241,67,125","107","-12","246,68,96","119","0"
"","null","html-keyboard-response","291","1398380","0.0-7.0-0.55","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","292","1398482","0.0-7.0-1.55","","null","","102,129,22","-153.20888862379562,146.2707403238341,61.80339887498945","-128.55752193730785,136.3996720124997,-190.21130325903073","encoding","","","","","","","","","",""
"","null","html-keyboard-response","293","1398783","0.0-7.0-2.55","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","294","1399985","0.0-7.0-3.55","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","6538","continuous_report","295","1406525","0.0-7.0-4.55","","","","102,129,22","-153.20888862379562,146.2707403238341,61.80339887498945","-128.55752193730785,136.3996720124997,-190.21130325903073","Probe","","null","752","364","96,137,95","14","-88","234,71,137","102","0"
"","null","html-keyboard-response","296","1407526","0.0-7.0-0.56","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","297","1407628","0.0-7.0-1.56","","null","","151,95,127","194.87401295704703,78.14622569785477,-3.6739403974420595e-14","-44.99021086877307,184.10097069048805,-200","encoding","","","","","","","","","",""
"","null","html-keyboard-response","298","1407929","0.0-7.0-2.56","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","null","html-keyboard-response","299","1409129","0.0-7.0-3.56","<div style=""font-size:60px;"">+</div>","null","","","","","","delay","","","","","","","","",""
"","29364","continuous_report","300","1438496","0.0-7.0-4.56","","","","151,95,127","194.87401295704703,78.14622569785477,-3.6739403974420595e-14","-44.99021086877307,184.10097069048805,-200","Probe","","null","879","474","233,87,63","135","8","242,76,78","127","2"
"","null","html-keyboard-response","301","1439497","0.0-7.0-0.57","<div style=""font-size:60px;"">+</div>","null","","","","","fixation","","","","","","","","","",""
"","null","snap-keyboard-response","302","1439600","0.0-7.0-1.57","","null","","64,118,141","-163.83040885779835,123.13229506513166,17.431148549531578","114.71528727020927,157.60215072134437,-199.23893961834912","encoding","","","","","","","","","",""
